rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,1.4118552605311077,13.910501376,1.7410080432891846,5.703089487129681
16,32,3686400,1.539357324441274,13.313124864,1.6952173709869385,5.447830036708493
64,128,14745600,1.4231836636861166,14.71290368,1.5837748050689697,4.87331695611213
